,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.6741,CELL.6741,1,Injury_2DPI_rep1_SS200000147BL_D5,6741,0,9267.0,4106.0,uninj,V,NO,MSN,MSN
CELL.6742,CELL.6742,4,Injury_2DPI_rep1_SS200000147BL_D5,6742,0,9262.0,3556.0,uninj,V,NO,MSN,MSN
CELL.6743,CELL.6743,1,Injury_2DPI_rep1_SS200000147BL_D5,6743,0,9269.0,3612.0,uninj,V,NO,MSN,MSN
CELL.6744,CELL.6744,4,Injury_2DPI_rep1_SS200000147BL_D5,6744,8,9267.0,2945.0,uninj,D,NO,DIPC,TLNBL
CELL.6745,CELL.6745,4,Injury_2DPI_rep1_SS200000147BL_D5,6745,0,9270.0,3332.0,uninj,V,NO,MSN,MSN
CELL.6746,CELL.6746,4,Injury_2DPI_rep1_SS200000147BL_D5,6746,0,9266.0,3385.0,uninj,V,NO,MSN,MSN
CELL.6747,CELL.6747,4,Injury_2DPI_rep1_SS200000147BL_D5,6747,0,9264.0,4001.0,uninj,V,NO,MSN,MSN
CELL.6748,CELL.6748,2,Injury_2DPI_rep1_SS200000147BL_D5,6748,8,9270.0,2426.0,uninj,D,NO,DIPC,TLNBL
CELL.6749,CELL.6749,4,Injury_2DPI_rep1_SS200000147BL_D5,6749,8,9269.0,2735.0,uninj,D,NO,DIPC,TLNBL
CELL.6750,CELL.6750,4,Injury_2DPI_rep1_SS200000147BL_D5,6750,0,9273.0,3941.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6751,CELL.6751,1,Injury_2DPI_rep1_SS200000147BL_D5,6751,0,9269.0,4545.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6752,CELL.6752,8,Injury_2DPI_rep1_SS200000147BL_D5,6752,3,9270.0,2191.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6753,CELL.6753,4,Injury_2DPI_rep1_SS200000147BL_D5,6753,8,9269.0,2687.0,uninj,D,NO,DIPC,TLNBL
CELL.6754,CELL.6754,0,Injury_2DPI_rep1_SS200000147BL_D5,6754,2,9275.0,5108.0,uninj,V,NO,VLMC,VLMC
CELL.6755,CELL.6755,4,Injury_2DPI_rep1_SS200000147BL_D5,6755,0,9271.0,3861.0,uninj,V,NO,MSN,MSN
CELL.6756,CELL.6756,1,Injury_2DPI_rep1_SS200000147BL_D5,6756,0,9275.0,4222.0,uninj,V,NO,MSN,MSN
CELL.6757,CELL.6757,4,Injury_2DPI_rep1_SS200000147BL_D5,6757,0,9273.0,3070.0,uninj,D,NO,MSN,MSN
CELL.6758,CELL.6758,4,Injury_2DPI_rep1_SS200000147BL_D5,6758,0,9273.0,3135.0,uninj,D,NO,MSN,MSN
CELL.6759,CELL.6759,4,Injury_2DPI_rep1_SS200000147BL_D5,6759,8,9268.0,2303.0,uninj,D,NO,DIPC,TLNBL
CELL.6760,CELL.6760,4,Injury_2DPI_rep1_SS200000147BL_D5,6760,0,9279.0,3355.0,uninj,V,NO,MSN,MSN
CELL.6761,CELL.6761,1,Injury_2DPI_rep1_SS200000147BL_D5,6761,0,9270.0,4063.0,uninj,V,NO,MSN,MSN
CELL.6762,CELL.6762,1,Injury_2DPI_rep1_SS200000147BL_D5,6762,10,9276.0,4340.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6763,CELL.6763,1,Injury_2DPI_rep1_SS200000147BL_D5,6763,0,9282.0,4373.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6764,CELL.6764,4,Injury_2DPI_rep1_SS200000147BL_D5,6764,0,9286.0,2858.0,uninj,D,NO,MSN,MSN
CELL.6765,CELL.6765,0,Injury_2DPI_rep1_SS200000147BL_D5,6765,4,9276.0,4836.0,uninj,V,NO,CMPN,CMPN
CELL.6766,CELL.6766,8,Injury_2DPI_rep1_SS200000147BL_D5,6766,3,9279.0,1950.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6767,CELL.6767,1,Injury_2DPI_rep1_SS200000147BL_D5,6767,0,9273.0,3781.0,uninj,V,NO,MSN,MSN
CELL.6768,CELL.6768,1,Injury_2DPI_rep1_SS200000147BL_D5,6768,0,9276.0,4450.0,uninj,V,NO,MSN,MSN
CELL.6769,CELL.6769,1,Injury_2DPI_rep1_SS200000147BL_D5,6769,0,9277.0,4513.0,uninj,V,NO,MSN,MSN
CELL.6770,CELL.6770,1,Injury_2DPI_rep1_SS200000147BL_D5,6770,4,9276.0,4683.0,uninj,V,NO,CMPN,CMPN
CELL.6771,CELL.6771,8,Injury_2DPI_rep1_SS200000147BL_D5,6771,3,9282.0,2013.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6772,CELL.6772,0,Injury_2DPI_rep1_SS200000147BL_D5,6772,0,9280.0,3187.0,uninj,D,NO,MSN,MSN
CELL.6773,CELL.6773,4,Injury_2DPI_rep1_SS200000147BL_D5,6773,0,9282.0,3285.0,uninj,V,NO,MSN,MSN
CELL.6774,CELL.6774,8,Injury_2DPI_rep1_SS200000147BL_D5,6774,3,9282.0,1983.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6775,CELL.6775,8,Injury_2DPI_rep1_SS200000147BL_D5,6775,3,9285.0,2232.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6776,CELL.6776,4,Injury_2DPI_rep1_SS200000147BL_D5,6776,8,9280.0,2637.0,uninj,D,NO,DIPC,TLNBL
CELL.6777,CELL.6777,4,Injury_2DPI_rep1_SS200000147BL_D5,6777,0,9282.0,2886.0,uninj,D,NO,MSN,MSN
CELL.6778,CELL.6778,4,Injury_2DPI_rep1_SS200000147BL_D5,6778,8,9286.0,2825.0,uninj,D,NO,DIPC,TLNBL
CELL.6779,CELL.6779,4,Injury_2DPI_rep1_SS200000147BL_D5,6779,0,9281.0,3819.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6780,CELL.6780,1,Injury_2DPI_rep1_SS200000147BL_D5,6780,10,9280.0,4484.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6781,CELL.6781,8,Injury_2DPI_rep1_SS200000147BL_D5,6781,3,9286.0,2130.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6782,CELL.6782,1,Injury_2DPI_rep1_SS200000147BL_D5,6782,2,9284.0,3713.0,uninj,V,NO,VLMC,VLMC
CELL.6783,CELL.6783,1,Injury_2DPI_rep1_SS200000147BL_D5,6783,0,9282.0,4196.0,uninj,V,NO,MSN,MSN
CELL.6784,CELL.6784,6,Injury_2DPI_rep1_SS200000147BL_D5,6784,4,9281.0,4716.0,uninj,V,NO,CMPN,CMPN
CELL.6785,CELL.6785,4,Injury_2DPI_rep1_SS200000147BL_D5,6785,8,9295.0,2398.0,uninj,D,NO,DIPC,TLNBL
CELL.6786,CELL.6786,1,Injury_2DPI_rep1_SS200000147BL_D5,6786,0,9292.0,4298.0,uninj,V,NO,MSN,MSN
CELL.6787,CELL.6787,1,Injury_2DPI_rep1_SS200000147BL_D5,6787,0,9282.0,4574.0,uninj,V,NO,MSN,MSN
CELL.6788,CELL.6788,4,Injury_2DPI_rep1_SS200000147BL_D5,6788,0,9286.0,3392.0,uninj,V,NO,MSN,MSN
CELL.6789,CELL.6789,4,Injury_2DPI_rep1_SS200000147BL_D5,6789,0,9289.0,3959.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6790,CELL.6790,1,Injury_2DPI_rep1_SS200000147BL_D5,6790,0,9277.0,4173.0,uninj,V,NO,MSN,MSN
CELL.6791,CELL.6791,8,Injury_2DPI_rep1_SS200000147BL_D5,6791,3,9294.0,1862.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6792,CELL.6792,8,Injury_2DPI_rep1_SS200000147BL_D5,6792,3,9287.0,2048.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6793,CELL.6793,4,Injury_2DPI_rep1_SS200000147BL_D5,6793,8,9296.0,2496.0,uninj,D,NO,DIPC,TLNBL
CELL.6794,CELL.6794,4,Injury_2DPI_rep1_SS200000147BL_D5,6794,8,9277.0,2578.0,uninj,D,NO,DIPC,TLNBL
CELL.6795,CELL.6795,1,Injury_2DPI_rep1_SS200000147BL_D5,6795,0,9291.0,3528.0,uninj,V,NO,MSN,MSN
CELL.6796,CELL.6796,1,Injury_2DPI_rep1_SS200000147BL_D5,6796,0,9292.0,4033.0,uninj,V,NO,MSN,MSN
CELL.6797,CELL.6797,1,Injury_2DPI_rep1_SS200000147BL_D5,6797,0,9291.0,4157.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6798,CELL.6798,0,Injury_2DPI_rep1_SS200000147BL_D5,6798,2,9283.0,5148.0,uninj,V,NO,VLMC,VLMC
CELL.6799,CELL.6799,8,Injury_2DPI_rep1_SS200000147BL_D5,6799,3,9291.0,1919.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6800,CELL.6800,4,Injury_2DPI_rep1_SS200000147BL_D5,6800,8,9282.0,2333.0,uninj,D,NO,DIPC,TLNBL
CELL.6801,CELL.6801,4,Injury_2DPI_rep1_SS200000147BL_D5,6801,0,9295.0,4246.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6802,CELL.6802,0,Injury_2DPI_rep1_SS200000147BL_D5,6802,9,9293.0,5189.0,uninj,V,NO,VLMC,VLMC
CELL.6803,CELL.6803,4,Injury_2DPI_rep1_SS200000147BL_D5,6803,8,9294.0,2437.0,uninj,D,NO,DIPC,TLNBL
CELL.6804,CELL.6804,4,Injury_2DPI_rep1_SS200000147BL_D5,6804,8,9292.0,2724.0,uninj,D,NO,DIPC,TLNBL
CELL.6805,CELL.6805,1,Injury_2DPI_rep1_SS200000147BL_D5,6805,0,9291.0,3847.0,uninj,V,NO,VLMC,VLMC
CELL.6806,CELL.6806,1,Injury_2DPI_rep1_SS200000147BL_D5,6806,0,9292.0,3440.0,uninj,V,NO,MSN,MSN
CELL.6807,CELL.6807,1,Injury_2DPI_rep1_SS200000147BL_D5,6807,0,9290.0,3564.0,uninj,V,NO,MSN,MSN
CELL.6808,CELL.6808,4,Injury_2DPI_rep1_SS200000147BL_D5,6808,7,9296.0,2369.0,uninj,D,NO,RIBRGC,RIBEGC
CELL.6809,CELL.6809,4,Injury_2DPI_rep1_SS200000147BL_D5,6809,0,9301.0,3077.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.6810,CELL.6810,3,Injury_2DPI_rep1_SS200000147BL_D5,6810,3,9298.0,1822.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6811,CELL.6811,4,Injury_2DPI_rep1_SS200000147BL_D5,6811,0,9296.0,2795.0,uninj,D,NO,MSN,MSN
CELL.6812,CELL.6812,4,Injury_2DPI_rep1_SS200000147BL_D5,6812,0,9292.0,3908.0,uninj,V,NO,MSN,MSN
CELL.6813,CELL.6813,1,Injury_2DPI_rep1_SS200000147BL_D5,6813,0,9298.0,4414.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6814,CELL.6814,1,Injury_2DPI_rep1_SS200000147BL_D5,6814,0,9291.0,4624.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6815,CELL.6815,8,Injury_2DPI_rep1_SS200000147BL_D5,6815,3,9305.0,2171.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6816,CELL.6816,4,Injury_2DPI_rep1_SS200000147BL_D5,6816,8,9299.0,2987.0,uninj,D,NO,DIPC,TLNBL
CELL.6817,CELL.6817,4,Injury_2DPI_rep1_SS200000147BL_D5,6817,0,9299.0,3253.0,uninj,V,NO,MSN,MSN
CELL.6818,CELL.6818,4,Injury_2DPI_rep1_SS200000147BL_D5,6818,0,9299.0,3880.0,uninj,V,NO,MSN,MSN
CELL.6819,CELL.6819,1,Injury_2DPI_rep1_SS200000147BL_D5,6819,0,9299.0,4590.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6820,CELL.6820,4,Injury_2DPI_rep1_SS200000147BL_D5,6820,8,9306.0,2463.0,uninj,D,NO,DIPC,TLNBL
CELL.6821,CELL.6821,4,Injury_2DPI_rep1_SS200000147BL_D5,6821,8,9309.0,2774.0,uninj,D,NO,DIPC,TLNBL
CELL.6822,CELL.6822,1,Injury_2DPI_rep1_SS200000147BL_D5,6822,0,9303.0,3759.0,uninj,V,NO,MSN,MSN
CELL.6823,CELL.6823,1,Injury_2DPI_rep1_SS200000147BL_D5,6823,0,9300.0,3802.0,uninj,V,NO,MSN,MSN
CELL.6824,CELL.6824,4,Injury_2DPI_rep1_SS200000147BL_D5,6824,8,9301.0,2536.0,uninj,D,NO,DIPC,TLNBL
CELL.6825,CELL.6825,4,Injury_2DPI_rep1_SS200000147BL_D5,6825,0,9295.0,3027.0,uninj,D,NO,MSN,MSN
CELL.6826,CELL.6826,1,Injury_2DPI_rep1_SS200000147BL_D5,6826,0,9295.0,3501.0,uninj,V,NO,MSN,MSN
CELL.6827,CELL.6827,1,Injury_2DPI_rep1_SS200000147BL_D5,6827,0,9298.0,4103.0,uninj,V,NO,MSN,MSN
CELL.6828,CELL.6828,4,Injury_2DPI_rep1_SS200000147BL_D5,6828,0,9312.0,3219.0,uninj,V,NO,MSN,MSN
CELL.6829,CELL.6829,4,Injury_2DPI_rep1_SS200000147BL_D5,6829,0,9301.0,3404.0,uninj,V,NO,MSN,MSN
CELL.6830,CELL.6830,8,Injury_2DPI_rep1_SS200000147BL_D5,6830,3,9302.0,1893.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6831,CELL.6831,4,Injury_2DPI_rep1_SS200000147BL_D5,6831,0,9305.0,3477.0,uninj,V,NO,MSN,MSN
CELL.6832,CELL.6832,4,Injury_2DPI_rep1_SS200000147BL_D5,6832,0,9297.0,3993.0,uninj,V,NO,MSN,MSN
CELL.6833,CELL.6833,1,Injury_2DPI_rep1_SS200000147BL_D5,6833,0,9305.0,4136.0,uninj,V,NO,MSN,MSN
CELL.6834,CELL.6834,0,Injury_2DPI_rep1_SS200000147BL_D5,6834,9,9306.0,1308.0,uninj,D,NO,VLMC,VLMC
CELL.6835,CELL.6835,8,Injury_2DPI_rep1_SS200000147BL_D5,6835,3,9305.0,2210.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6836,CELL.6836,4,Injury_2DPI_rep1_SS200000147BL_D5,6836,0,9304.0,2888.0,uninj,D,NO,MSN,MSN
CELL.6837,CELL.6837,1,Injury_2DPI_rep1_SS200000147BL_D5,6837,0,9303.0,4340.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6838,CELL.6838,4,Injury_2DPI_rep1_SS200000147BL_D5,6838,8,9307.0,2657.0,uninj,D,NO,DIPC,TLNBL
CELL.6839,CELL.6839,4,Injury_2DPI_rep1_SS200000147BL_D5,6839,0,9303.0,3118.0,uninj,D,NO,MSN,MSN
CELL.6840,CELL.6840,1,Injury_2DPI_rep1_SS200000147BL_D5,6840,0,9307.0,3304.0,uninj,V,NO,MSN,MSN
CELL.6841,CELL.6841,1,Injury_2DPI_rep1_SS200000147BL_D5,6841,10,9307.0,3940.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6842,CELL.6842,1,Injury_2DPI_rep1_SS200000147BL_D5,6842,0,9305.0,4674.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6843,CELL.6843,4,Injury_2DPI_rep1_SS200000147BL_D5,6843,8,9308.0,2345.0,uninj,D,NO,DIPC,TLNBL
CELL.6844,CELL.6844,1,Injury_2DPI_rep1_SS200000147BL_D5,6844,0,9307.0,4390.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6845,CELL.6845,1,Injury_2DPI_rep1_SS200000147BL_D5,6845,0,9306.0,3718.0,uninj,V,NO,VLMC,VLMC
CELL.6846,CELL.6846,1,Injury_2DPI_rep1_SS200000147BL_D5,6846,0,9308.0,4321.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6847,CELL.6847,1,Injury_2DPI_rep1_SS200000147BL_D5,6847,0,9306.0,4542.0,uninj,V,NO,MSN,MSN
CELL.6848,CELL.6848,1,Injury_2DPI_rep1_SS200000147BL_D5,6848,2,9309.0,3687.0,uninj,V,NO,VLMC,VLMC
CELL.6849,CELL.6849,8,Injury_2DPI_rep1_SS200000147BL_D5,6849,3,9313.0,1963.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6850,CELL.6850,8,Injury_2DPI_rep1_SS200000147BL_D5,6850,3,9310.0,2142.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6851,CELL.6851,4,Injury_2DPI_rep1_SS200000147BL_D5,6851,0,9306.0,2926.0,uninj,D,NO,MSN,MSN
CELL.6852,CELL.6852,4,Injury_2DPI_rep1_SS200000147BL_D5,6852,0,9313.0,2961.0,uninj,D,NO,MSN,MSN
CELL.6853,CELL.6853,4,Injury_2DPI_rep1_SS200000147BL_D5,6853,0,9302.0,3334.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6854,CELL.6854,1,Injury_2DPI_rep1_SS200000147BL_D5,6854,0,9307.0,4210.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6855,CELL.6855,8,Injury_2DPI_rep1_SS200000147BL_D5,6855,3,9306.0,2079.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6856,CELL.6856,4,Injury_2DPI_rep1_SS200000147BL_D5,6856,8,9308.0,2619.0,uninj,D,NO,DIPC,TLNBL
CELL.6857,CELL.6857,4,Injury_2DPI_rep1_SS200000147BL_D5,6857,0,9314.0,3154.0,uninj,D,NO,MSN,MSN
CELL.6858,CELL.6858,4,Injury_2DPI_rep1_SS200000147BL_D5,6858,0,9307.0,3176.0,uninj,D,NO,MSN,MSN
CELL.6859,CELL.6859,1,Injury_2DPI_rep1_SS200000147BL_D5,6859,10,9314.0,4493.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6860,CELL.6860,8,Injury_2DPI_rep1_SS200000147BL_D5,6860,3,9315.0,2005.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6861,CELL.6861,8,Injury_2DPI_rep1_SS200000147BL_D5,6861,3,9314.0,2037.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6862,CELL.6862,4,Injury_2DPI_rep1_SS200000147BL_D5,6862,8,9313.0,2745.0,uninj,D,NO,DIPC,TLNBL
CELL.6863,CELL.6863,1,Injury_2DPI_rep1_SS200000147BL_D5,6863,2,9315.0,3593.0,uninj,V,NO,VLMC,VLMC
CELL.6864,CELL.6864,8,Injury_2DPI_rep1_SS200000147BL_D5,6864,3,9309.0,2114.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6865,CELL.6865,4,Injury_2DPI_rep1_SS200000147BL_D5,6865,8,9319.0,2704.0,uninj,D,NO,DIPC,TLNBL
CELL.6866,CELL.6866,4,Injury_2DPI_rep1_SS200000147BL_D5,6866,0,9322.0,3364.0,uninj,V,NO,MSN,MSN
CELL.6867,CELL.6867,1,Injury_2DPI_rep1_SS200000147BL_D5,6867,0,9311.0,4450.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6868,CELL.6868,0,Injury_2DPI_rep1_SS200000147BL_D5,6868,6,9314.0,1775.0,uninj,D,NO,SSTIN,SSTIN
CELL.6869,CELL.6869,8,Injury_2DPI_rep1_SS200000147BL_D5,6869,3,9314.0,1936.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6870,CELL.6870,1,Injury_2DPI_rep1_SS200000147BL_D5,6870,0,9318.0,4093.0,uninj,V,NO,MSN,MSN
CELL.6871,CELL.6871,4,Injury_2DPI_rep1_SS200000147BL_D5,6871,0,9318.0,4259.0,uninj,V,NO,MSN,MSN
CELL.6872,CELL.6872,1,Injury_2DPI_rep1_SS200000147BL_D5,6872,0,9318.0,4159.0,uninj,V,NO,MSN,MSN
CELL.6873,CELL.6873,1,Injury_2DPI_rep1_SS200000147BL_D5,6873,0,9320.0,3973.0,uninj,V,NO,MSN,MSN
CELL.6874,CELL.6874,0,Injury_2DPI_rep1_SS200000147BL_D5,6874,2,9315.0,5193.0,uninj,V,NO,VLMC,VLMC
CELL.6875,CELL.6875,1,Injury_2DPI_rep1_SS200000147BL_D5,6875,2,9322.0,3814.0,uninj,V,NO,VLMC,VLMC
CELL.6876,CELL.6876,1,Injury_2DPI_rep1_SS200000147BL_D5,6876,0,9317.0,4047.0,uninj,V,NO,MSN,MSN
CELL.6877,CELL.6877,1,Injury_2DPI_rep1_SS200000147BL_D5,6877,0,9322.0,4688.0,uninj,V,NO,MSN,MSN
CELL.6878,CELL.6878,4,Injury_2DPI_rep1_SS200000147BL_D5,6878,8,9326.0,2564.0,uninj,D,NO,DIPC,TLNBL
CELL.6879,CELL.6879,1,Injury_2DPI_rep1_SS200000147BL_D5,6879,10,9316.0,4023.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6880,CELL.6880,4,Injury_2DPI_rep1_SS200000147BL_D5,6880,2,9319.0,3847.0,uninj,V,NO,VLMC,VLMC
CELL.6881,CELL.6881,1,Injury_2DPI_rep1_SS200000147BL_D5,6881,10,9323.0,4365.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6882,CELL.6882,1,Injury_2DPI_rep1_SS200000147BL_D5,6882,0,9324.0,4068.0,uninj,V,NO,MSN,MSN
CELL.6883,CELL.6883,1,Injury_2DPI_rep1_SS200000147BL_D5,6883,0,9323.0,4432.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6884,CELL.6884,1,Injury_2DPI_rep1_SS200000147BL_D5,6884,10,9327.0,3572.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6885,CELL.6885,1,Injury_2DPI_rep1_SS200000147BL_D5,6885,10,9324.0,3785.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6886,CELL.6886,8,Injury_2DPI_rep1_SS200000147BL_D5,6886,3,9326.0,2224.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6887,CELL.6887,8,Injury_2DPI_rep1_SS200000147BL_D5,6887,3,9330.0,2254.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6888,CELL.6888,4,Injury_2DPI_rep1_SS200000147BL_D5,6888,0,9323.0,3197.0,uninj,D,NO,MSN,MSN
CELL.6889,CELL.6889,4,Injury_2DPI_rep1_SS200000147BL_D5,6889,0,9323.0,3391.0,uninj,V,NO,MSN,MSN
CELL.6890,CELL.6890,1,Injury_2DPI_rep1_SS200000147BL_D5,6890,0,9324.0,4413.0,uninj,V,NO,MSN,MSN
CELL.6891,CELL.6891,8,Injury_2DPI_rep1_SS200000147BL_D5,6891,3,9326.0,1910.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6892,CELL.6892,1,Injury_2DPI_rep1_SS200000147BL_D5,6892,2,9321.0,3646.0,uninj,V,NO,VLMC,VLMC
CELL.6893,CELL.6893,1,Injury_2DPI_rep1_SS200000147BL_D5,6893,0,9326.0,4593.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6894,CELL.6894,8,Injury_2DPI_rep1_SS200000147BL_D5,6894,8,9330.0,2300.0,uninj,D,NO,DIPC,TLNBL
CELL.6895,CELL.6895,4,Injury_2DPI_rep1_SS200000147BL_D5,6895,0,9328.0,3098.0,uninj,D,NO,MSN,MSN
CELL.6896,CELL.6896,4,Injury_2DPI_rep1_SS200000147BL_D5,6896,0,9328.0,2799.0,uninj,D,NO,MSN,MSN
CELL.6897,CELL.6897,4,Injury_2DPI_rep1_SS200000147BL_D5,6897,0,9327.0,3026.0,uninj,D,NO,MSN,MSN
CELL.6898,CELL.6898,4,Injury_2DPI_rep1_SS200000147BL_D5,6898,0,9329.0,4005.0,uninj,V,NO,MSN,MSN
CELL.6899,CELL.6899,6,Injury_2DPI_rep1_SS200000147BL_D5,6899,6,9332.0,4750.0,uninj,V,NO,SSTIN,SSTIN
CELL.6900,CELL.6900,4,Injury_2DPI_rep1_SS200000147BL_D5,6900,8,9327.0,2595.0,uninj,D,NO,DIPC,TLNBL
CELL.6901,CELL.6901,1,Injury_2DPI_rep1_SS200000147BL_D5,6901,0,9331.0,4300.0,uninj,V,NO,MSN,MSN
CELL.6902,CELL.6902,8,Injury_2DPI_rep1_SS200000147BL_D5,6902,3,9330.0,2062.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6903,CELL.6903,4,Injury_2DPI_rep1_SS200000147BL_D5,6903,0,9329.0,3268.0,uninj,V,NO,MSN,MSN
CELL.6904,CELL.6904,1,Injury_2DPI_rep1_SS200000147BL_D5,6904,0,9330.0,4236.0,uninj,V,NO,MSN,MSN
CELL.6905,CELL.6905,6,Injury_2DPI_rep1_SS200000147BL_D5,6905,4,9333.0,4827.0,uninj,V,NO,CMPN,CMPN
CELL.6906,CELL.6906,8,Injury_2DPI_rep1_SS200000147BL_D5,6906,3,9323.0,1841.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.6907,CELL.6907,4,Injury_2DPI_rep1_SS200000147BL_D5,6907,0,9323.0,2854.0,uninj,D,NO,MSN,MSN
CELL.6908,CELL.6908,1,Injury_2DPI_rep1_SS200000147BL_D5,6908,2,9332.0,3719.0,uninj,V,NO,VLMC,VLMC
CELL.6909,CELL.6909,1,Injury_2DPI_rep1_SS200000147BL_D5,6909,10,9332.0,4517.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6910,CELL.6910,4,Injury_2DPI_rep1_SS200000147BL_D5,6910,0,9333.0,2823.0,uninj,D,NO,MSN,MSN
CELL.6911,CELL.6911,4,Injury_2DPI_rep1_SS200000147BL_D5,6911,0,9332.0,2906.0,uninj,D,NO,MSN,MSN
CELL.6912,CELL.6912,4,Injury_2DPI_rep1_SS200000147BL_D5,6912,0,9332.0,3052.0,uninj,D,NO,MSN,MSN
CELL.6913,CELL.6913,1,Injury_2DPI_rep1_SS200000147BL_D5,6913,0,9337.0,4331.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6914,CELL.6914,4,Injury_2DPI_rep1_SS200000147BL_D5,6914,8,9332.0,2411.0,uninj,D,NO,DIPC,TLNBL
CELL.6915,CELL.6915,4,Injury_2DPI_rep1_SS200000147BL_D5,6915,8,9337.0,2650.0,uninj,D,NO,DIPC,TLNBL
CELL.6916,CELL.6916,4,Injury_2DPI_rep1_SS200000147BL_D5,6916,8,9332.0,2754.0,uninj,D,NO,DIPC,TLNBL
CELL.6917,CELL.6917,4,Injury_2DPI_rep1_SS200000147BL_D5,6917,0,9333.0,3244.0,uninj,V,NO,MSN,MSN
CELL.6918,CELL.6918,4,Injury_2DPI_rep1_SS200000147BL_D5,6918,10,9331.0,3458.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6919,CELL.6919,4,Injury_2DPI_rep1_SS200000147BL_D5,6919,0,9341.0,3125.0,uninj,D,NO,MSN,MSN
CELL.6920,CELL.6920,4,Injury_2DPI_rep1_SS200000147BL_D5,6920,8,9336.0,2335.0,uninj,D,NO,DIPC,TLNBL
CELL.6921,CELL.6921,4,Injury_2DPI_rep1_SS200000147BL_D5,6921,8,9333.0,2514.0,uninj,D,NO,DIPC,TLNBL
CELL.6922,CELL.6922,4,Injury_2DPI_rep1_SS200000147BL_D5,6922,0,9337.0,2931.0,uninj,D,NO,MSN,MSN
CELL.6923,CELL.6923,1,Injury_2DPI_rep1_SS200000147BL_D5,6923,0,9334.0,3536.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6924,CELL.6924,1,Injury_2DPI_rep1_SS200000147BL_D5,6924,0,9340.0,3908.0,uninj,V,NO,SCGNIN,SCGNIN
CELL.6925,CELL.6925,0,Injury_2DPI_rep1_SS200000147BL_D5,6925,4,9334.0,4863.0,uninj,V,NO,CMPN,CMPN
CELL.6926,CELL.6926,0,Injury_2DPI_rep1_SS200000147BL_D5,6926,2,9336.0,1351.0,uninj,D,NO,VLMC,VLMC
